epoch,train_loss,val_loss,val_rmse,val_mae,val_r2
1,2.0988307232212517,0.7608683521930988,0.8735038638114929,0.6266632676124573,0.4376292027209874
2,0.7397930425398902,0.5906910116855915,0.7709164023399353,0.5534387826919556,0.5619661306371444
3,0.5803199289645071,0.5237514972686768,0.7232273817062378,0.5136354565620422,0.6144836075864026
4,0.5363848660211362,0.4875280788311592,0.6961163878440857,0.4946606755256653,0.642844912562945
5,0.4966326798183445,0.4734433683065268,0.6850188374519348,0.48275646567344666,0.654141781242299
6,0.486151599639806,0.45279856140796954,0.6700196862220764,0.471847265958786,0.6691217121016977
7,0.46913347337993144,0.4372488306118892,0.6592115163803101,0.46890968084335327,0.679710523134436
8,0.4516782178765252,0.42715038244540876,0.6512941718101501,0.4590352773666382,0.6873578653827377
9,0.4570543300009777,0.417482486137977,0.6439847350120544,0.45522522926330566,0.6943360619150134
10,0.4429743704803758,0.4087697909428523,0.6371352076530457,0.45143142342567444,0.7008036083768465
11,0.4362192472746206,0.4069722088483664,0.634885847568512,0.44605761766433716,0.7029124955246921
12,0.42080059687164534,0.39744256092951846,0.6273813843727112,0.44032031297683716,0.7098942374307782
13,0.41968130778236645,0.3933604863973764,0.6247947812080383,0.4425961971282959,0.7122814654831706
14,0.4131125839445678,0.3854232201209435,0.6183798909187317,0.4351803958415985,0.7181592302935338
15,0.4083332481442364,0.3804158109884996,0.6157395839691162,0.44059988856315613,0.7205608432642547
16,0.4016983283978628,0.37392743963461655,0.6088554263114929,0.42839929461479187,0.7267743724107147
17,0.39262862963929923,0.36784411393679106,0.6039444804191589,0.4232005178928375,0.731164184517527
18,0.39638282366897315,0.3646926765258496,0.601028561592102,0.4159840941429138,0.7337538766628384
19,0.38877001757901636,0.36150004313542294,0.5994390249252319,0.42095836997032166,0.7351602857687534
20,0.3826795529619536,0.3581346388046558,0.5961320400238037,0.41446468234062195,0.7380743505572631
21,0.3752325244355175,0.35533483441059405,0.5932988524436951,0.4091072976589203,0.7405581173948826
22,0.37748200051148206,0.35213997960090637,0.5911846160888672,0.4100598096847534,0.7424038913093007
23,0.375669082896918,0.3503600863310007,0.5901457667350769,0.4124399423599243,0.7433083975375345
